text_a	text_b	damsl_labels	labels
Below is the picture of the original trapezoid she drew on the coordinated  grid is at the right	Amy decides she wants to include the school name so she needs to make the trapezoid wider	sd	0.0
Amy decides she wants to include the school name so she needs to make the trapezoid wider	She does not want it to be taller	sd	0.0
She does not want it to be taller	She developed a rule to help her fix the drawing Amys rule to follow the first coordinates on this	sd	0.0
Will that work	No	b	0.0
Doubling the first coordinate will that work	No	b	0.0
What coordinate is the first coordinate	We always go across first so the first coordinate would be the across one I think	sd	3.0
Jose	If Amy used the rule what do you think the new trapezoid will look like	sd	0.0
If Amy used the rule what do you think the new trapezoid will look like	Be specific in your description	sd	0.0
Another word xavier	Origin	b	3.0
Adelle	Origin	b	3.0
Amanda	The zero point	sd	3.0
The zero point	Coordinates	sd	3.0
Andrea	X coordinate and Y coordinate	sd	3.0
What are some other things you can do along with your response that makes your response even better	A model	sd	0.0
Jace	You could draw a picture	sd	3.0
Put your pencils down all I want you to do right now is listen	We think the new trapezoid will look wider on the Xaxis	sd	4.0
We think the new trapezoid will look wider on the Xaxis	Then another thing we think will look different is by being longer than the other half of the trapezoid	sd	4.0
Then another thing we think will look different is by being longer than the other half of the trapezoid	We also agree with Amys rule because if you double numbers it will make things bigger and she wants it to be wider	sd	4.0
We also agree with Amys rule because if you double numbers it will make things bigger and she wants it to be wider	Then we think thats going to be something that it may look like	sd	4.0
I can see a lot of agreeing	I dont agree with the picture but yes	sd	1.0
Bianca	I like how you used a variety of the math vocabulary when you described what the trapezoid would look like	sd	1.0
Any other stars	I like how I think it was very descriptive because you said it would be wider on the Xaxis which is true and you described it down here	sd	1.0
Andrea lets have you share and then were going to move on to the next part	What my table group thought of was we think the new trapezoid will look like it would be stretched out because it doubled a lot the Xaxis	sd	4.0
What my table group thought of was we think the new trapezoid will look like it would be stretched out because it doubled a lot the Xaxis	We know this because the shape did not go higher it went wider	sd	4.0
We know this because the shape did not go higher it went wider	If it went higher she would have doubled the Yaxis	sd	4.0
If it went higher she would have doubled the Yaxis	This makes the Y coordinate stay the same and the X coordinate double to be 10	sd	4.0
This makes the Y coordinate stay the same and the X coordinate double to be 10	We also know this because double of five is 10	sd	4.0
Austin give me a star for Andrea	Its very detailed	sd	1.0
Amanda a star	It has a lot of description with words and her relation on coordinate and the X coordinate and	sd	1.0
Allen	That will be zero	sd	3.0
Jace can you tell me what you and your partner talked about	We thought that it would go on 30 to 14 but then we thought that it was going to be higher maybe like 14 at the end	sd	3.0
Clarissa where do you think I should drag the C to	104	b	3.0
You guys agreed	Yes	b	0.0
Was that at 104	Yes	b	0.0
Briar	You would need to drag D to 100	sd	3.0
You would need to drag D to 100	Because the original shape was in that	sd	3.0
Wesley turn around face the screen	It was in that shape so it had a straight side and it has to line up with 104	sd	4.0
Uhoh okay	I think were wrong	sd	3.0
Jaxon a comment	I noticed on the last one we dragged the C and D over but Im not sure we drag the other one because its 14 is the way I would do it	sd	4.0
I noticed on the last one we dragged the C and D over but Im not sure we drag the other one because its 14 is the way I would do it	Yes I was about to point that out	sd	1.0
Let s go back	But it didn t go forward	sd	3.0
But it didn t go forward	Oh it might not even	sd	1.0
Okay so I move this over	But they re the same	sd	3.0
Okay	It would be 33 24	sd	3.0
Like that	Yes	b	0.0
Yes	Now its good	sd	3.0
Bianca	24	b	3.0
C Cynthia	104	b	3.0
D Jose	D would be 100	sd	3.0
E Catalina	It would be in 00	sd	3.0
Bianca	Just a little bit I was expecting the Yaxis to change to make it smaller but it didn t	sd	3.0
Just a little bit I was expecting the Yaxis to change to make it smaller but it didn t	That we missed something it became larger on the Xaxis	sd	3.0
You were surprised just to see the Y coordinates not change	Yes	b	0.0
And why wider Allen	Because we times with	sd	4.0
Bianca	Yaxis	sd	3.0
Andrea	Intersect	sd	3.0
Briar	Xaxis	aa	3.0
Xaxis	X coordinate and Y coordinate	sd	3.0
Andrea	Are we getting graded on this	sd	0.0
One two three	I can discuss other students rules and pictures on the coordinate grid and revise my work	sd	0.0
Colton can you read the blue	Yes	b	0.0
The top blue	Okay	b	0.0
Okay	Make sense of the problems	sd	0.0
Make sense of the problems	What are you being asked to do	sd	0.0
What are you being asked to do	How many answers do you need	sd	0.0
Pink Ruby	Using the appropriate process to solve the problem accurately	sd	0.0
Ari	Explain mathematical reasoning	sd	0.0
Explain mathematical reasoning	Proof why youre here why your process slash answer makes sense	sd	0.0
Okay and then the colorful one Alice	Use specific mathematical vocabulary numbers and pictures	sd	0.0
Use specific mathematical vocabulary numbers and pictures	Use labels and	sd	0.0
Who can read A	This shows	sd	0.0
Alice	This means	sd	0.0
Charlie C	This suggests	sd	0.0
D Auden	This calculation shows that	sd	0.0
Then Nolan can you read D	Yes	aa	0.0
F Cameron T	This mathematical thinking explains why	sd	0.0
Okay and Valentina H	I know this because	sd	0.0
A clipboard and a pen or colored pencil and give me a zero	Why is this thing on my desk	sd	0.0
Cora Connor Gabriella you can clip up in the second Santiago Alice Valentina Ari Ezekiel Ruby	I have a pen	sd	0.0
You go grab a	Im double but when I did it	sd	3.0
Auden	I did the front page but	sd	0.0
Adeline do you have yours	Yes	b	0.0
Give me a second	Now we have an even class	sd	3.0
I dont deserve that	I think that just switches that doesn t redo the whole thing	sv	0.0
Sorry friends I dont know why it does that	Lately its been bringing putting us back with the same like every two	sd	0.0
Lately its been bringing putting us back with the same like every two	Yes Ive been with  a lot	sd	0.0
Give me five	You need to press the redo	sd	0.0
Who are you with	Valentina	sd	0.0
Low voices working hard go	I couldnt figure it out so I couldnt do this so I got a brand new paper here so	sd	0.0
I couldnt figure it out so I couldnt do this so I got a brand new paper here so	We need the same thing we did with the xaxis and yaxis	sd	3.0
We need the same thing we did with the xaxis and yaxis	Let me just go ahead to it	sd	0.0
Let me just go ahead to it	20 minutes	sd	0.0
20 minutes	Lets be honest	sd	0.0
Awesome job	Can you make a handshake for that	sd	0.0
For what	For showing	sd	0.0
For show	the board	sd	0.0
Comment Hunter	That wouldnt work because the five is in the hundredths place	sd	4.0
Who would like to give me their number	I put 70 in five tenths at the same time with	sd	3.0
Lily	I did 90141	sd	3.0
Im going to clean this one	Mine works	sd	0.0
If youre going to	Yes you turned it off Miss	sd	0.0
Yes you turned it off Miss	Warren	aa	0.0
I turned it off	Yes because its not working	sd	0.0
There we go	Its raining cats	sd	0.0
Show me your boards	Hold on	sd	0.0
Im going to call on three people to come up and hold up their boards like this	Please	sd	0.0
Hey you are going to listen to these three friends	Im still doing mine	sd	0.0
Matteo can you just hold this for Levi	What I did is I put a four right here under thousands place and then for the thousandths place I put a seven back here to show that there was	sd	4.0
You put four in the thousands place and a seven in the what place	Seven in the thousandths place	sd	3.0
Awesome	What I did I put a four in the thousands place and I put a two in the hundreds and I put 697 thousandths in the 47 thousandths into thousandths	sd	4.0
Do we agree with Matteo	Yes	b	1.0
All golf claps are quiet	Im sorry	sd	0.0
One two three	I can shade grids to represent and solve decimals and subtraction problems	sd	0.0
Matteo can you tell me what you and your partner spoke about about the picture	The picture on the bottom said because we see how 49 doesnt fill up all the five things it was in and then it adds one pen which fills up almost the full entire bar but another one has to fill in that other square	sd	4.0
I will know Im successful when I can accurately	Accurately shade the grids to represent the numbers to find the sums and differences	sd	0.0
Accurately shade the grids to represent the numbers to find the sums and differences	Explain my representation	sd	0.0
Arden	Add	sd	3.0
What does it mean to represent Asher	Im not sure but to show something or maybe	sd	3.0
To show something	Or maybe a way	sd	3.0
Ezra	To show your work how you got it	sd	3.0
Turn knee to knee and talk	Did you get 67 hundreds	sd	1.0
Did you get 67 hundreds	Yes	b	0.0
Yes	Okay	b	0.0
Leah will you go to the front of the room and share your thinking	Okay	b	0.0
Leah youre going to say Im setting the model up okay	What I did was I looked at the bottom of the blues and saw it covered two of them	sd	4.0
What I did was I looked at the bottom of the blues and saw it covered two of them	Then I just made sure that all those were covered	sd	4.0
Then I just made sure that all those were covered	I knew that it was 20 blue squares	sd	4.0
I knew that it was 20 blue squares	Then I counted how many columns there were of red and I counted four	sd	4.0
Then I counted how many columns there were of red and I counted four	Then there was one that just had seven cubes covered	sd	4.0
Then there was one that just had seven cubes covered	Then I added onto them the 47	sd	4.0
Then I added onto them the 47	I added	sd	4.0
67 what	67 hundreds	sd	3.0
Levi	67 hundreds	sd	3.0
Claire	You feel three tenths one two three	sd	3.0
Im I done	No	b	0.0
No	Because theres still 30 hundredth square so you have to cover in	sd	4.0
Im I done with 33 hundredths	Yes	b	0.0
Five so what does that mean	Five tenths	sd	3.0
Five tenths so I need to fill in what	Five rows	sd	3.0
Five rows	Yes	b	0.0
Im I done	Yes	b	0.0
Im I done	No	b	0.0
Levi	You got to add a decimal before the eight	sd	3.0
Lucy	87 hundredths	sd	3.0
87 hundredths agreed	Agreed	sd	1.0
Classidy class	Yessiyess yes	b	0.0
Where do I start	Number 60	b	3.0
Everyone say hundredths	Hundredths	sd	0.0
Ezra where do I start	When you shade in two columns	sd	4.0
When you shade in two columns	Then you add eight zero squares	sd	4.0
Six plus two equals what	Eight	sd	3.0
We have 68 correct	Yes	b	0.0
Plus 25		b	3.0
First five plus eight		b	3.0
What		b	3.0
Were going to move on to subtraction	Math	sd	0.0
I need to exit out three rows so I want you all to do what Im doing	Done	b	0.0
Okay now am I done	No	b	0.0
Difference meaning answer to a Class	Subtraction problem	sd	3.0
Have you ever heard of a vertical	Yes	b	0.0
Yes	Ive heard about	sd	0.0
6  3	Three	sd	3.0
My answer is still		b	3.0
I have 52 ones	Yes	b	0.0
Minus subtracting 14	Shoes	sd	3.0
Wait	Im going to	sd	0.0
Okay	Then how many	sd	0.0
Then how many	I think  get arrested	sd	0.0
I think  get arrested	Yes	b	0.0
Yes	One row and four	sd	0.0
One row and four	One doesnt go through	sd	0.0
Pam ta da pam pam	Pam pam	sd	0.0
Correct	Yes	b	0.0
Mathew	I know you cant take two away  You cant take four away from two	sd	3.0
Listen to Mathew	So you have to borrow from the from the tenth place	sd	3.0
So Mathew keep going	So you are doing one whole	sd	3.0
So you are doing one whole	He said i dont like it	sd	0.0
Do we agree so far	Yes	b	1.0
Next	And then in the hundredths place	sd	3.0
Pam param pam pam	pam pam	sd	0.0
Layla	A four	sd	3.0
Do these match	Yes	b	0.0
Classidy class	Yescidy yes	aa	0.0
You have math boxes to complete and then you can grab your computers and start playing with fraction of	He touched a button	sd	0.0
Yes Zoey sorry for interrupting you keep going	I knew that if the number comes after the decimal point its probably what moves  the number ahead of the decimal	sd	4.0
Missy what number is in the tenths place	Eight	sd	3.0
Do we understand why	Yes	b	0.0
Is our thousandths place nine going to stay the same or move up	Stay the same	sd	3.0
Everyone markers down hands in your lap Felicia s going to show you her thinking	First I did the ones the same and then I did the tenths and the hundredths the same	sd	4.0
First I did the ones the same and then I did the tenths and the hundredths the same	Then the next one I put next to the three is eight so I rounded the three to the four and I got eight and two hundred and ninetyfour thousandths	sd	4.0
One two three	How will you use previously learned strategies to add and subtract decimals to balance a bank statement	sd	0.0
You don t have to think about balancing a bank statement but what do you think when you have to balance Anders	You got to keep it even on both sides otherwise one side will be heavier and that would	sd	4.0
Asher	I think balancing money	sd	3.0
I think balancing money	Say two people are depositing money and you want to give them an equal amount	sd	3.0
One two three	I will know I am successful when I can explain what strategy was most efficient to add and subtract the most	sd	0.0
Efficient why do we want to be efficient Stella	We have more problems to solve	sd	4.0
Friends Alexander and Hudson make sure youre sorry	None of that makes sense	sd	2.0
Are you raising your hand	Yes	b	0.0
Felicia	My mom is the treasurer of the church	sd	0.0
My mom is the treasurer of the church	When I have to go get her things I always see things like that	sd	3.0
They have 8212	Thats in 2016	sd	3.0
How do decimals relate to your real world Bander	Theres dollars and then theres cents and the cents are like decimals	sd	3.0
Those are called toiletries toothpaste toilet paper	All that jazz	sd	0.0
If I had children that would be another expense the electricity	Water	sd	3.0
Another thing I had to think about for this month which Ive planned for the last four months is paying for Christmas gifts for people	Aww	aa	0.0
What I did is I saved a little bit every month adding to my Im sure your parents did this too budgeting for Christmas gifts	StudentYes	sd	0.0
Even though I have all these Christmas gifts to pay for did I still have to pay rent this month	Yes	b	0.0
Am I going to eat this month	Yes	b	0.0
Am I going to need gas for my car this month	Yes	b	0.0
Alexander do mopeds cost money	Yes	b	0.0
Do those need gas	I dont know	sd	0.0
Classidy class	Yessidy yes	aa	0.0
Alexander and Hudson did I set you two by each other	No	b	0.0
No	No I was here	sd	0.0
No I was here	Alexander just moved	sd	0.0
Alexander move to your spot	I was here by Stella	sd	0.0
Are you adding or subtracting	Adding	sd	3.0
Everyone put your markers down put your hands in your lap show Margo active listening	What I did was I did 146 plus 017 and I got 1	sd	4.0
What I did was I did 146 plus 017 and I got 1	63 and I used traditional addition	sd	4.0
63 and I used traditional addition	Agree	sd	1.0
Everyone get 163	Yes	b	1.0
Set up the problems	Is there any tax	sd	0.0
Tax is already included	Oh	b	0.0
Classidy class	Yessidy yes	aa	0.0
Yes	I agree with Zoey	sd	1.0
I agree with Zoey	Also you paid with that and  cost that much  thats why you have to put it on top	sd	4.0
Why is that important Bander	You don t like taking money so you get	sd	4.0
We know people everyone makes mistakes so we need to make sure were aware	Although most of the time you	sd	0.0
If Im saving money Im	Adding	sd	3.0
Pam pararampam	Pam pam	sd	0.0
How much money do I have left	9093	b	3.0
9093	Yes	b	0.0
Could I type it in	Yes	b	0.0
Oh wait sorry friends we are not going to play this game we can go straight to map boxes and skip the game	No	b	0.0
Classy classy	Yessy Yessy	aa	0.0
Elia	What I got is 8742	sd	3.0
8742 agree everyone	Agree	sd	1.0
Classy classy	Yessy yessy	aa	0.0
Angelica what did you get	I got 8751	sd	3.0
Sorry I didn t hear	51 cents	sd	3.0
Do we agree 8751	Yes	b	1.0
I know its 8751 but lets say I mix up the decimal point why is it so important Kelly	It separates a dollar from the cents	sd	3.0
Classidy class	Yessidy yes	b	0.0
Kendra	8530	b	3.0
Kendra	The more you spend when you do have to pay bills you wont have money to do it	sd	4.0
Classidy class	Yessidy yes	b	0.0
Say Bye to you	Bye to you	sd	0.0
Bye to you	So it would be a half	sd	3.0
I said three I think	Im going to do four just for the fun of it	sd	0.0
Okay	Im going to leave one more	sd	0.0
Show me your boards	Im done	sd	0.0
Im done	My arm hurts	sd	0.0
Cecilia	I got three twelfths	sd	3.0
Harrison can you say what Cecilia just said	No	b	0.0
Cecilia can you say that again	I got three twelfths	sd	3.0
How did you get threetwelfths	I got it by I know that	sd	0.0
Claire why do you agree	I agree because thats also one of the things I got	sd	1.0
If I was to show my work how would I do that	I put down one fourth like a circle and then I made twelfths slice and I colored in three of them	sd	4.0
I put down one fourth like a circle and then I made twelfths slice and I colored in three of them	I saw that it was equal because I wasnt sure at first	sd	4.0
One different than three twelfths	Two eighths	sd	3.0
I know we love doing the millions over the millions but lets just try to do reasonable ones	Im going to do trillions	sd	3.0
Im going to do trillions	four and ask questions	sd	0.0
four and ask questions	How are they getting	sd	0.0
How are they getting	I know	aa	0.0
I know	Do quadrillion	sd	1.0
Do we agree	I got 150240	sd	3.0
Harrison	1624	b	3.0
Step by step	You do it horizontally	sd	3.0
I know these mics and	Do you hold it down	sd	0.0
Hugh what did you and your partner talk about	We talked about how to find an equivalent fraction	sd	4.0
We talked about how to find an equivalent fraction	You want to multiply the numerator and the denominator by the same number	sd	4.0
Landon can you respond to what Hugh just said	No	b	0.0
Hugh can you repeat that	Yes	b	0.0
So step one multiply the numerator and denominator by the same number	Thats the only step	sd	3.0
Thats the only step	Step two you have your answer	sd	3.0
Elaine	Adding on to Hugh me and Kennedy talked about multiplying across	sd	1.0
Does everyone agree	Yes	b	1.0
Three	I can explain why the multiplication rule for equivalent fractions work	sd	0.0
Put your lid on your marker	I think that theyre multiplying the numerator and the denominator by the same number which is three	sd	3.0
What did you and your partner say	We talked about how	sd	0.0
We talked about how	We talked about how like lets say we have two fifths you times it by the same number like	sd	3.0
Efficient	Efficient	sd	0.0
Without explaining and explaining this is one of the times where you can make one or two sentences and wrap it up with specific words and concise	Yes	b	0.0
Yes	That sounds so good	sd	0.0
Everyone say Multiplicative	Multiplicative	sd	0.0
Multiplicative	Multiplicative	sd	0.0
Now say Multiplicative identity property	Multiplicative identity property	sd	0.0
We kind of went through it yesterday on accident because it came up	That means if you multiply a number by one like if you multiply three by one itd be three no matter what	sd	3.0
Thats our challenge is not moving ahead	This is it	sd	0.0
This is it	Page 184	aa	0.0
Person B raise your hand	Its not right	sd	0.0
Go	I didnt get D yet	sd	0.0
I didnt get D yet	I didnt get the answer	sd	0.0
I didnt get the answer	You have B	sd	0.0
You have B	Oh B	b	0.0
Oh B	B	b	0.0
B	I thought five times two and one thirds	sd	3.0
I thought five times two and one thirds	Ten and one third	sd	3.0
Ten and one third	I feel like exactly	sd	0.0
I feel like exactly	I want to say its five dogs	sd	3.0
I want to say its five dogs	Actually wait	sd	0.0
Actually wait	Oh its not five	sd	3.0
Oh its not five	I think five times  is equal	sd	3.0
Cassandra which one do you think was the hardest to answer and why	I think the hardest one to answer was D	sd	3.0
Kennedy	I agree with Cassandra because when all the other ones is like five times five fourths as a large number in spite of  numbers	sd	1.0
Faye	Five is greater because if you do five times one half its five tenths	sd	4.0
Five is greater because if you do five times one half its five tenths	Five is bigger because its a whole number	sd	4.0
Why do you say less	Because five is greater than five times 81 so thats Oh its inequivalent	sd	4.0
So 86 over 7 is what Madison	If youre doing five times 86 over seven its only one away from a whole so it will be really close to five but its not	sd	4.0
If youre doing five times 86 over seven its only one away from a whole so it will be really close to five but its not	Its a little bit less than five	sd	4.0
Class answer	Equal	b	3.0
Go	So I did what is it	sd	0.0
So I did what is it	Three thirds	sd	3.0
Oh and a number as the numerator that seem as the denominator	No	b	0.0
No	Thats over	ba	0.0
Thats over	The same number	sd	3.0
The same number	Its three thirds	sd	3.0
Its three thirds	Four fourths	sd	1.0
Four fourths	Is your fraction you grow in part with A to write three fractions youre going to	sv	3.0
Go	Okay	b	0.0
Okay	Four fourths	sd	3.0
Four fourths	Its three thirds	sd	1.0
Its three thirds	Okay	b	0.0
Okay	Mine was a hundred hundredth	sd	1.0
Mine was a hundred hundredth	Eightyeight eighty	aa	1.0
Eightyeight eighty	Yes	b	0.0
Yes	Four fourths	sd	1.0
Four fourths	You said fourth eighteenths	sd	1.0
Deborah what did you hear that was shared	I heard	sd	0.0
Landon what did you hear your table group say	Twelvetwelve	sd	3.0
Madison	Two halves	sd	3.0
Two over two	Yes	b	0.0
Elaine	Ten tenths	sd	3.0
Talk to your face partner	Same numbers that were talking about	sd	3.0
Three over three is equal to one	Yes and if you three thirds one is a whole and three over three if you have a pizza and you eat three out of three then you eat the whole pizza for example	sd	4.0
Yes and if you three thirds one is a whole and three over three if you have a pizza and you eat three out of three then you eat the whole pizza for example	Thats equivalent because	sd	4.0
How was your thinking different	I think that our thinking was different because I said that the numerator and denominator are the same but therefore you could multiply and add the exact same	sd	4.0
I think that our thinking was different because I said that the numerator and denominator are the same but therefore you could multiply and add the exact same	I think its similar because we both kind of thought of the same thing	sd	4.0
I think its similar because we both kind of thought of the same thing	I would like to add on to both of them because when I think of finding equivalent fractions I know that you have to multiply the numerator and the denominator by the same number	sd	1.0
I would like to add on to both of them because when I think of finding equivalent fractions I know that you have to multiply the numerator and the denominator by the same number	So say you have one fourth and you want to find the equivalent fraction you multiply the one by three and then the four by three which is equivalent to one and youll have an equivalent fraction	sd	4.0
So did you multiply the four and five then	This	sd	3.0
This	This bottom line	sd	3.0
What is the bottom line	Two	sd	3.0
Four times four is	Eight	aa	3.0
Eight	I know	aa	0.0
Five times four is	Twenty	sd	3.0
Did anyone put the multiplicative identity property in their rule	Well you never really told us what it was	sd	0.0
Just for a second	We have no room	sd	0.0
We have no room	Wait until Sky is through	sd	0.0
Madison	it relates to because you basically multiply a whole which is equal to one so	sd	4.0
Did you hear Madison	Yes	b	0.0
Yes	Yes	b	0.0
One fourth times three over three is	Three twelves	sd	3.0
Math boxes and then partner check	Please tell me youre kidding	sd	0.0
Please tell me youre kidding	Right	b	0.0
Right	Its 913	sd	0.0
Its 913	We actually have four to six hours	sd	0.0
Are you going to be able to handler having a Emmitter	Yes	b	0.0
Yes	Wait	sd	0.0
Wait	What are we doing again	sd	0.0
Do we agree	Yes	b	1.0
When you re done flip your board over so I can tell who s still working	Its popping	sd	0.0
Rebecca what did you write	I wrote eightyfour and three tenths	sd	3.0
You are going to do these two problems with your kneetoknee partner talk it through	Four hundredths	aa	3.0
Four hundredths	Nine hundred	sd	3.0
Nine hundred	Then twentyseven and fiftyone hundredths	sd	3.0
Then twentyseven and fiftyone hundredths	This is like a long one	sd	0.0
That second one is a long one	I didn t have enough room	sd	0.0
I didn t have enough room	So I had to do this	sd	0.0
Everyone show Jules active listening	For number one I did For number one I look at the number 12 and 84 hundredths	sd	4.0
Emmitt	I m not sure but it could be where the decimal is tenths	sd	3.0
I m not sure but it could be where the decimal is tenths	Then the tenth place after the decimals	sd	3.0
Then the tenth place after the decimals	The tenths place	sd	3.0
The tenths place	With writing it you might get those mixed up	sd	3.0
We re going to read it in three two one	I can solve problems involving the subtraction of fractions and mixed numbers	sd	0.0
One two three	I can solve problems involving the subtraction of fractions and mixed numbers	sd	0.0
What are we really looking at today Francis	Subtraction of fractions and mixed numbers	sd	3.0
Camella can you read that sentence	Solve problems 1 and 2	sd	0.0
Solve problems 1 and 2	Discuss with your partner how the problems were similar and difficult	sd	0.0
Can you go to  desk since she s not here	Yes	b	0.0
Francis clip up	Number 2 is not the same	sd	0.0
163	Oh yes	b	0.0
Oh yes	Number 2 is a little different	sd	0.0
Number 2 is a little different	It s like 3	sd	0.0
It s like 3	Its 2 3	sd	0.0
You re going to just estimate what you think the benchmark fraction it will be closest to	Wait	sd	0.0
Wait	I found that problem is for number 5	sd	0.0
Gerald	One thing I noticed is I saw that on the first problem the whole You were subtracting four from one and that equals three	sd	4.0
One thing I noticed is I saw that on the first problem the whole You were subtracting four from one and that equals three	Then for the top fraction for number two is three	sd	4.0
Then for the top fraction for number two is three	I was subtracting another whole again	sd	4.0
Whitney what was your estimate for number 2	For number 2 I did 32 1	sd	4.0
So 1 was your estimate	Yes	b	0.0
Sandra	I did 311 2 and I did equals 21 2	sd	4.0
Of course I drew Geralds name and then I drew Camella s name	Number 2	b	0.0
Number 2	I stopped working on that because I didn t read it right	sd	0.0
Gordon	That we didn t really have to do that much work	sd	3.0
Astrid	You had to have borrowed from one of the wholes	sd	3.0
Rebecca	31 322 3	b	3.0
Francis what do you notice about problem 4	It s	sd	0.0
Go	I think the estimate would be almost 1  10	sd	4.0
I think the estimate would be almost 1  10	Yes	b	1.0
Yes	Thanks	b	0.0
Thanks	Because 9  8 is 1	sd	4.0
Because 9  8 is 1	Thats 110	ba	4.0
Thats 110	Let me just draw up a quick picture	sd	0.0
You need to check your work	I have to make a picture	sd	0.0
I have to make a picture	Let me draw a picture	sd	0.0
Let me draw a picture	910 is close to 1	sd	4.0
910 is close to 1	So 1 and then 810 is close to 1 too	sd	4.0
Edwin so I see your partner is confused how we got to borrow in this problem and they even look a little confused on how to  this one	If you borrow	aa	3.0
Gerald can you explain your picture	My picture was I did tenths and I put 910 and then I put a subtraction sign and then I shaded in 810 and then I did the equal sign and then shaded in 110	sd	4.0
Whitney	What I did was I took 3 4 and I multiply it by 3	sd	3.0
What I did was I took 3 4 and I multiply it by 3	Because the bottom will make 12	sd	4.0
Because the bottom will make 12	I took 1 3 and also multiply it by 4	sd	4.0
What strategy did you use	Multiplication	aa	3.0
Were going to try it again	I don t know the answer	sd	0.0
I don t know the answer	You have to round it up	sd	3.0
You have to round it up	Do you know how to do that	sd	0.0
Do you know how to do that	Wait	sd	0.0
Wait	So you got	sd	0.0
What are your two whole numbers that you see	You have to round up or run down	sd	3.0
He s really trying to explain it to you	Did you add the fractions that you have	sd	0.0
Did you add the fractions that you have	Because Im subtracting	sd	3.0
Because Im subtracting	You got to take away the whole to get 2	sd	4.0
You got to take away the whole to get 2	Im going to add 3	sd	4.0
Im going to add 3	Then you have to  6	sd	4.0
Then you have to  6	Thats what goes in	sd	4.0
Thats what goes in	3 x 2 is 6	sd	4.0
82 why	Three is 5	sd	4.0
Three is 5	Then 2  1 is 1	sd	4.0
You can just write two	So the estimate is pretty much just that	sd	3.0
Good	3  8	b	3.0
Yes so multiply top and bottom by 2	Im just going to do 6 and 6 and 12	sd	3.0
Im just going to do 6 and 6 and 12	Thats pretty close	sd	0.0
Put a 3 and 26	Do you need some help Grant	sd	0.0
Do you need some help Grant	Yes	b	0.0
1 x 2 is	1 x 2 is	sd	0.0
Yes then 3 x 2 is	Can I go to the restroom  down there	sd	0.0
Hey friends I see you dont have a picture	By taking away 1 whole from 10 and adding that on	sd	4.0
Classity class	Yessity yes	b	0.0
Make sure youre staying focused	The second one you do the same thing	sd	3.0
The second one you do the same thing	Its 1 2 x 3	sd	3.0
Its 1 2 x 3	Do I have to draw pictures	sd	0.0
Yes youre right	I dont want to draw the picture	sd	0.0
Good	You have a microphone	sd	0.0
Classy classy	Yessy yessy	aa	0.0
Can everyone see this color okay	Yes	b	0.0
What is my common denominator Adaline	6	b	3.0
So 3 times what is 6	2	b	3.0
Charlie what is 31 3 become	31 3 becomes 3 and 26	sd	3.0
Sandra	It becomes 1 and 36	sd	3.0
Francis now can I subtract	Yes	b	0.0
Yes	No	b	0.0
Why cant I subtract	Wait let me check my paper work	sd	0.0
Wait let me check my paper work	Because you have to round	sd	4.0
Its not round	Carry	aa	3.0
Astrid	Now you add on You do 2  6	qy	3.0
Why plus 6	Because youre adding on the whole	sd	4.0
Can I subtract now	Yes	b	0.0
What is 2  1	1	b	3.0
8  3	5	b	3.0
You shouldve had 1 and 56	Yes	b	0.0
Whats my first step	Find the common denominator	sd	3.0
How did you find the common denominator	I just multiplied it by the 5 and 3 together	sd	3.0
Gordon	Our new fractions are 315 and 1015	sd	3.0
Our new fractions are 315 and 1015	Is it right	aa	0.0
3  15 is	18	b	3.0
Class	5	b	3.0
18  10	8	b	3.0
Solve this problem	I dont want to do it	sd	0.0
I dont want to do it	I dont want to do it	sd	0.0
Make sure you copy down the problem correctly	Was that homework	sd	0.0
It mightve been	Im pretty sure	sd	0.0
Maybe where I got it from	Which pages do we do	sd	0.0
Which pages do we do	Ms	b	0.0
What	What pages do we do	sd	0.0
142 and 143	42	b	0.0
Can you change my pages to 164 and 166	What about 165	sd	0.0
164 and 165	Ill just do every page	sd	0.0
Ill just do every page	Its only	sd	0.0
Thank you	I cant reduce it	sd	3.0
I cant reduce it	I got my answer right there and its also over there	sd	0.0
Work anyway	Going there thinking about it saying that Knowing that  thinking that it would happen and then  My dad says it would really  me because it shows me	sd	0.0
Will it matter in 10 years	Wait was it addition or subtraction	sd	2.0
Wait was it addition or subtraction	Subtraction	aa	3.0
I want to hear mouths talking	This is how you say six in German how do you pronounce that	sd	0.0
Lets do our new Lets write out our new fractions 9 and what	6 and 13	sd	3.0
Now I have to add what to four	10	b	3.0
Because remember thats our what	5 and 13	sd	3.0
4  10 is	Only a 4 its not	sd	0.0
Only a 4 its not	5	b	3.0
14  5	11	b	3.0
11	I mean 10 9	sd	3.0
Good job	Ms  what pages do we do	sd	0.0
Classy classy	Yessy yessy	aa	0.0
Gerald	What is it	sd	0.0
Does anyone find drawing maybe difficult	Yes	b	0.0
Wave bye	Bye	aa	0.0
Michelle what did you get for number two	I got seven and a half	sd	3.0
Hailey number three	I got 20	sd	3.0
Number one Alfred	Eight	sd	3.0
Sorry	First I did 13 of 8 and then I got 4 so then I just multiplied that by 2	sd	4.0
Anyone else did the same strategy	Yes	b	1.0
Atticus	We got 10 because we got the multiplication back when we did  First we did in thirds and then we get 510	sd	4.0
Arthur	23 of 60 I got 40	sd	3.0
Whats 13 of 60 friends	20	b	3.0
Okay Arthur	No	b	0.0
Classy classy	Yessy yessy	aa	0.0
